Distance,3min,3min_sim,6min,6min_sim,10min,10min_sim,15min,15min_sim,50min_sim,100min_sim,200min_sim,
7.70050e+01,1.85541e+01,1.87167e+01,1.87227e+01,1.89107e+01,1.89032e+01,1.90148e+01,1.89918e+01,1.90786e+01,1.91715e+01,1.91440e+01,1.90660e+01,
7.75478e+01,1.85178e+01,1.86766e+01,1.86946e+01,1.88855e+01,1.88908e+01,1.89969e+01,1.89800e+01,1.90648e+01,1.91656e+01,1.91407e+01,1.90642e+01,
7.81250e+01,1.84756e+01,1.86328e+01,1.86677e+01,1.88582e+01,1.88773e+01,1.89774e+01,1.89671e+01,1.90499e+01,1.91593e+01,1.91371e+01,1.90624e+01,
7.88050e+01,1.84200e+01,1.85794e+01,1.86379e+01,1.88252e+01,1.88607e+01,1.89540e+01,1.89514e+01,1.90320e+01,1.91517e+01,1.91329e+01,1.90601e+01,
7.94850e+01,1.83621e+01,1.85243e+01,1.86059e+01,1.87912e+01,1.88435e+01,1.89300e+01,1.89351e+01,1.90138e+01,1.91439e+01,1.91285e+01,1.90578e+01,
7.99950e+01,1.83259e+01,1.84817e+01,1.85803e+01,1.87652e+01,1.88305e+01,1.89117e+01,1.89249e+01,1.89998e+01,1.91381e+01,1.91253e+01,1.90561e+01,
8.04603e+01,1.82901e+01,1.84420e+01,1.85555e+01,1.87409e+01,1.88202e+01,1.88947e+01,1.89156e+01,1.89870e+01,1.91326e+01,1.91222e+01,1.90544e+01,
8.11150e+01,1.82341e+01,1.83847e+01,1.85181e+01,1.87061e+01,1.88053e+01,1.88703e+01,1.89022e+01,1.89685e+01,1.91249e+01,1.91179e+01,1.90522e+01,
8.17950e+01,1.81699e+01,1.83234e+01,1.84796e+01,1.86691e+01,1.87892e+01,1.88445e+01,1.88877e+01,1.89490e+01,1.91168e+01,1.91133e+01,1.90497e+01,
8.24914e+01,1.81170e+01,1.82588e+01,1.84382e+01,1.86302e+01,1.87721e+01,1.88175e+01,1.88725e+01,1.89287e+01,1.91083e+01,1.91086e+01,1.90472e+01,
8.32550e+01,1.80503e+01,1.81860e+01,1.83879e+01,1.85865e+01,1.87526e+01,1.87872e+01,1.88551e+01,1.89059e+01,1.90989e+01,1.91033e+01,1.90444e+01,
8.39350e+01,1.79809e+01,1.81195e+01,1.83375e+01,1.85465e+01,1.87344e+01,1.87596e+01,1.88390e+01,1.88853e+01,1.90903e+01,1.90986e+01,1.90419e+01,
8.46150e+01,1.79170e+01,1.80514e+01,1.82869e+01,1.85057e+01,1.87131e+01,1.87314e+01,1.88225e+01,1.88642e+01,1.90817e+01,1.90937e+01,1.90393e+01,
8.51578e+01,1.78825e+01,1.79961e+01,1.82599e+01,1.84724e+01,1.86948e+01,1.87086e+01,1.88088e+01,1.88472e+01,1.90747e+01,1.90898e+01,1.90373e+01,
8.57350e+01,1.78425e+01,1.79363e+01,1.82293e+01,1.84364e+01,1.86744e+01,1.86839e+01,1.87938e+01,1.88288e+01,1.90672e+01,1.90856e+01,1.90350e+01,
8.64150e+01,1.77901e+01,1.78649e+01,1.81902e+01,1.83931e+01,1.86490e+01,1.86542e+01,1.87755e+01,1.88067e+01,1.90582e+01,1.90806e+01,1.90324e+01,
8.70950e+01,1.77305e+01,1.77925e+01,1.81473e+01,1.83489e+01,1.86221e+01,1.86240e+01,1.87563e+01,1.87843e+01,1.90491e+01,1.90756e+01,1.90297e+01,
8.76050e+01,1.76930e+01,1.77378e+01,1.81120e+01,1.83152e+01,1.86007e+01,1.86010e+01,1.87413e+01,1.87673e+01,1.90422e+01,1.90717e+01,1.90276e+01,
8.80703e+01,1.76596e+01,1.76876e+01,1.80772e+01,1.82840e+01,1.85803e+01,1.85798e+01,1.87287e+01,1.87515e+01,1.90358e+01,1.90682e+01,1.90258e+01,
8.87250e+01,1.76078e+01,1.76168e+01,1.80380e+01,1.82394e+01,1.85570e+01,1.85494e+01,1.87150e+01,1.87290e+01,1.90267e+01,1.90631e+01,1.90231e+01,
8.94050e+01,1.75844e+01,1.75433e+01,1.79951e+01,1.81923e+01,1.85361e+01,1.85173e+01,1.87002e+01,1.87053e+01,1.90172e+01,1.90578e+01,1.90203e+01,
9.01014e+01,1.75905e+01,1.74686e+01,1.79462e+01,1.81431e+01,1.85136e+01,1.84838e+01,1.86845e+01,1.86807e+01,1.90073e+01,1.90523e+01,1.90174e+01,
9.08650e+01,1.75971e+01,1.73878e+01,1.78900e+01,1.80882e+01,1.84875e+01,1.84464e+01,1.86667e+01,1.86531e+01,1.89963e+01,1.90462e+01,1.90141e+01,
